id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
54019695,Puerto Madero,-34.60503,-58.36625,Entire home/apt,Entire rental unit,3,1.0,2.0,86206.29,14.0,0,,,,0,0.0,5,139.0,64.0,203.0,,t,True,True,True,True,False,False,False,False
41720307,Recoleta,-34.59225,-58.39662,Entire home/apt,Entire rental unit,2,1.0,1.0,74564.86,2.0,9,4.56,4.67,4.56,24,6.575342465753424,23,,,,,f,True,False,True,False,True,True,False,False
1482653002662185299,Recoleta,-34.59622,-58.39629,Entire home/apt,Entire rental unit,4,2.0,3.0,144486.0,2.0,19,4.84,4.89,4.89,114,31.232876712328768,7,,,,,t,True,False,True,False,True,False,False,False
1046394538968941382,Almagro,-34.5981559,-58.42021140000001,Private room,Private room in rental unit,1,,1.0,25317.0,1.0,0,,,,0,0.0,3,106.0,138.0,244.0,,f,False,False,False,False,True,False,False,False
1708343918490071398,Palermo,-34.58798397908021,-58.42906030887693,Entire home/apt,Entire serviced apartment,2,,1.0,60746.92,2.0,0,,,,0,0.0,8,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,False
1481532845124538775,Palermo,-34.5824318,-58.40831559999999,Private room,Private room in rental unit,1,,1.0,60875.33,3.0,0,,,,0,0.0,18,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,True
568894083555155106,Palermo,-34.57824,-58.42611,Entire home/apt,Entire rental unit,2,1.0,1.0,343348.29,14.0,0,,,,0,0.0,13,354.0,130.0,484.0,,f,True,True,True,True,True,False,False,False
1584290581776571173,Palermo,-34.5716,-58.43097,Private room,Room in hotel,2,1.0,1.0,78287.22,1.0,0,,,,0,0.0,8,354.0,130.0,484.0,,f,True,False,False,False,True,False,False,False
1577682304572312376,Palermo,-34.57226901848021,-58.429776951670654,Private room,Room in hotel,2,1.0,1.0,65625.0,1.0,0,,,,0,0.0,8,354.0,130.0,484.0,,f,True,False,False,False,True,False,False,False
54348944,Retiro,-34.59652,-58.3808,Entire home/apt,Entire condo,2,1.0,1.0,47553.85,28.0,1,5.0,4.0,5.0,0,0.0,7,303.0,220.0,523.0,,f,True,False,True,False,True,False,False,True
1660971760424626299,Palermo,-34.57411,-58.43106,Entire home/apt,Entire rental unit,2,,1.0,102095.0,2.0,8,4.75,4.88,4.88,48,13.150684931506849,7,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,False
1080645016183984130,Recoleta,-34.595365425302404,-58.41266579926015,Entire home/apt,Entire rental unit,2,1.0,,74673.25,4.0,0,,,,0,0.0,8,,,,,f,True,True,True,False,True,False,False,False
1283407500016239756,Palermo,-34.5849082,-58.4248055,Entire home/apt,Entire rental unit,4,1.0,3.0,150189.0,2.0,0,,,,0,0.0,11,354.0,130.0,484.0,,f,True,True,True,True,True,False,False,True
1489249118320651103,Palermo,-34.5789295,-58.4334071,Entire home/apt,Entire rental unit,2,1.0,1.0,121493.82,1.0,0,,,,0,0.0,10,354.0,130.0,484.0,,f,True,True,True,False,True,False,False,False
791372512948567039,Palermo,-34.591671568139866,-58.42399254816965,Private room,Private room in home,1,7.0,1.0,50627.67,3.0,0,,,,0,0.0,9,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,False
1063731324774373893,Palermo,-34.58090377001597,-58.42334702610969,Entire home/apt,Entire rental unit,2,1.0,1.0,111380.0,1.0,6,4.67,4.83,5.0,6,1.643835616438356,27,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,False
1688418596207116924,Retiro,-34.5925887,-58.3856047,Entire home/apt,Entire rental unit,3,2.0,3.0,153753.5,2.0,0,,,,0,0.0,5,303.0,220.0,523.0,,f,True,False,True,False,True,False,False,False
1121722885652679930,Paternal,-34.60225889072016,-58.47442070532304,Private room,Private room in guesthouse,1,1.0,1.0,25661.0,1.0,0,,,,0,0.0,4,28.0,66.0,94.0,,f,True,False,False,False,True,False,False,False
839066451645691534,Villa Urquiza,-34.57701755484977,-58.488734090566005,Entire home/apt,Entire rental unit,2,1.0,1.0,189759.0,1.0,0,,,,0,0.0,4,,,,,f,False,False,True,False,True,False,False,False
1615346083693929663,Palermo,-34.57227,-58.42386,Entire home/apt,Entire rental unit,2,1.0,1.0,89241.55,20.0,0,,,,0,0.0,6,354.0,130.0,484.0,,f,True,True,True,False,True,False,False,False
1674115081943861912,San Telmo,-34.62223,-58.37192,Entire home/apt,Entire rental unit,2,,1.0,100917.0,1.0,3,4.0,4.33,4.33,18,4.931506849315069,24,,,,,f,True,False,True,False,True,True,False,False
1085532896058740479,Palermo,-34.579305738180494,-58.43106709420681,Entire home/apt,Entire rental unit,3,1.0,2.0,95691.67,30.0,0,,,,0,0.0,5,354.0,130.0,484.0,,f,True,False,True,False,True,False,False,False
971875559481627683,San Telmo,-34.61992,-58.37384,Entire home/apt,Entire rental unit,3,1.0,2.0,72243.0,2.0,5,4.8,5.0,5.0,24,6.575342465753424,16,,,,,f,True,False,True,False,True,False,False,False
1674033419913877864,Retiro,-34.5977,-58.37845,Entire home/apt,Entire rental unit,2,1.0,1.0,49628.26,1.0,0,,,,0,0.0,4,303.0,220.0,523.0,,f,True,False,True,False,True,False,False,False
1676256270472535118,Monserrat,-34.61102899999999,-58.3840227,Entire home/apt,Entire rental unit,2,1.0,1.0,74230.67,3.0,2,4.5,5.0,5.0,12,3.287671232876712,8,336.0,214.0,550.0,,f,True,False,True,True,True,False,False,False
1520300602640830867,Palermo,-34.583837,-58.4247864,Entire home/apt,Entire rental unit,2,1.0,1.0,151312.83,4.0,11,4.91,5.0,4.91,88,24.10958904109589,0,354.0,130.0,484.0,,f,False,False,False,False,False,False,False,False
747215781533060770,Monserrat,-34.61327,-58.36953,Entire home/apt,Entire rental unit,2,1.0,1.0,267190.0,3.0,1,5.0,5.0,5.0,0,0.0,13,336.0,214.0,550.0,,f,True,True,True,False,True,False,False,True
38849566,Almagro,-34.60518,-58.4282,Entire home/apt,Entire rental unit,3,1.0,3.0,97960.33,3.0,2,4.5,5.0,5.0,0,0.0,9,106.0,138.0,244.0,,f,True,False,True,False,True,True,False,False
